,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence,parameter C
11,0.1,,0.1,0.3,0.2,0.0024330900243309003,"[12, 20, 25, 0, 6, 24, 12, 1, 8, 8, 2, 22, 4, 7, 16, 8, 25, 22, 3, 23, 19, 9, 17, 0, 7, 24, 23, 26, 11, 12, 21, 15, 25, 6, 1, 26, 15, 18, 15, 3, 9, 13, 20, 26, 16, 14, 10, 16, 22, 2, 21, 18, 4, 17, 1, 13, 5, 7, 9, 14, 10, 0, 11, 13, 11, 21, 24, 4, 6, 5, 17, 20, 14, 18, 19, 19, 10, 5, 3, 23, 2]",0.1
12,0.1,,0.1,0.3,0.3,0.0024937655860349127,"[0, 23, 23, 8, 3, 18, 1, 26, 18, 21, 10, 10, 12, 18, 3, 22, 19, 0, 14, 10, 22, 5, 19, 15, 0, 13, 4, 21, 24, 12, 6, 5, 3, 17, 16, 25, 7, 11, 15, 11, 9, 26, 24, 2, 16, 23, 19, 20, 6, 4, 5, 20, 13, 4, 14, 6, 9, 15, 8, 7, 17, 20, 26, 16, 11, 12, 13, 1, 21, 2, 7, 25, 2, 1, 14, 8, 24, 25, 17, 22, 9]",0.1
13,0.1,,0.1,0.3,0.4,0.0023752969121140144,"[11, 19, 14, 12, 7, 21, 3, 4, 10, 26, 14, 24, 17, 20, 18, 3, 2, 15, 14, 6, 8, 0, 8, 2, 12, 10, 17, 16, 1, 21, 4, 20, 9, 5, 7, 0, 3, 6, 23, 2, 1, 24, 19, 21, 23, 12, 9, 16, 25, 5, 8, 20, 6, 1, 23, 13, 5, 25, 16, 22, 24, 10, 26, 26, 22, 11, 18, 15, 9, 13, 17, 7, 0, 13, 25, 19, 22, 15, 11, 4, 18]",0.1
14,0.1,,0.1,0.3,0.5,0.002325581395348837,"[19, 17, 12, 12, 10, 15, 13, 18, 4, 23, 4, 10, 8, 24, 8, 16, 8, 18, 7, 5, 12, 21, 11, 6, 7, 13, 26, 3, 11, 13, 16, 25, 6, 3, 7, 17, 1, 4, 15, 19, 9, 6, 14, 2, 5, 24, 18, 2, 23, 20, 21, 22, 9, 19, 25, 22, 21, 1, 24, 22, 14, 16, 15, 23, 0, 17, 0, 1, 20, 10, 11, 25, 3, 14, 9, 2, 26, 26, 5, 20, 0]",0.1
15,0.1,,0.1,0.4,0.1,0.002386634844868735,"[17, 14, 10, 26, 4, 22, 12, 4, 2, 2, 14, 15, 6, 25, 8, 7, 19, 5, 0, 5, 21, 11, 1, 3, 6, 6, 12, 1, 14, 9, 23, 0, 16, 2, 13, 25, 1, 24, 10, 3, 9, 13, 19, 22, 20, 8, 5, 21, 25, 13, 18, 26, 9, 11, 3, 24, 15, 20, 26, 18, 23, 19, 17, 17, 18, 16, 4, 24, 15, 11, 0, 20, 21, 7, 8, 22, 7, 12, 23, 10, 16]",0.1
16,0.1,,0.1,0.4,0.2,0.0023584905660377358,"[1, 2, 3, 25, 7, 17, 21, 14, 26, 7, 13, 19, 18, 6, 9, 14, 16, 15, 6, 0, 1, 24, 2, 19, 20, 26, 9, 22, 18, 11, 0, 12, 12, 5, 17, 18, 24, 8, 4, 21, 2, 25, 3, 7, 12, 5, 15, 14, 16, 20, 20, 25, 23, 16, 6, 11, 4, 10, 21, 24, 0, 10, 22, 4, 23, 22, 5, 8, 1, 15, 13, 3, 10, 26, 9, 11, 23, 19, 17, 8, 13]",0.1
17,0.1,,0.1,0.4,0.3,0.0024271844660194173,"[3, 23, 0, 14, 19, 8, 4, 26, 12, 0, 5, 18, 6, 18, 9, 0, 2, 19, 10, 14, 25, 26, 25, 5, 19, 18, 13, 21, 6, 13, 21, 26, 1, 3, 4, 21, 22, 8, 17, 10, 9, 2, 25, 16, 1, 15, 1, 10, 7, 16, 15, 12, 22, 24, 14, 9, 24, 4, 11, 13, 22, 7, 6, 20, 24, 17, 11, 8, 16, 3, 20, 2, 17, 12, 23, 15, 11, 20, 7, 5, 23]",0.1
18,0.1,,0.1,0.4,0.4,0.002347417840375587,"[23, 3, 1, 21, 2, 10, 24, 6, 5, 22, 13, 11, 20, 16, 15, 9, 4, 21, 26, 19, 14, 8, 16, 23, 19, 24, 5, 1, 4, 22, 15, 12, 14, 12, 20, 25, 18, 2, 11, 7, 17, 19, 0, 26, 7, 1, 14, 2, 25, 7, 8, 8, 23, 11, 24, 17, 0, 21, 9, 10, 6, 13, 10, 0, 13, 18, 12, 15, 9, 16, 17, 22, 3, 25, 5, 6, 20, 26, 4, 3, 18]",0.1
19,0.1,,0.1,0.4,0.5,0.0024509803921568627,"[20, 3, 13, 20, 10, 26, 11, 22, 25, 4, 2, 2, 9, 3, 23, 8, 17, 6, 15, 17, 3, 24, 23, 12, 14, 16, 18, 17, 25, 24, 10, 5, 6, 16, 4, 2, 9, 7, 15, 16, 12, 0, 1, 10, 26, 4, 23, 19, 25, 13, 5, 6, 8, 11, 21, 1, 21, 0, 26, 12, 8, 18, 18, 7, 15, 0, 19, 9, 24, 21, 20, 5, 11, 13, 22, 14, 22, 19, 1, 14, 7]",0.1
20,0.1,,0.1,0.5,0.1,0.0025,"[7, 24, 4, 5, 26, 2, 13, 14, 16, 11, 0, 20, 4, 9, 14, 17, 21, 23, 19, 18, 0, 25, 1, 10, 13, 20, 5, 12, 26, 3, 4, 6, 19, 7, 23, 25, 13, 6, 18, 2, 12, 22, 3, 11, 17, 8, 6, 15, 24, 22, 11, 10, 18, 22, 1, 3, 21, 23, 19, 8, 26, 8, 9, 1, 21, 9, 12, 15, 2, 20, 25, 15, 7, 0, 10, 16, 24, 14, 17, 16, 5]",0.1
