,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
11,0.1,0.1,0.1,0.5,0.3,0.004081632653061225,"[8, 2, 22, 25, 20, 22, 16, 10, 16, 8, 18, 8, 23, 3, 18, 26, 2, 3, 13, 13, 16, 22, 25, 14, 2, 20, 9, 4, 14, 23, 9, 21, 10, 7, 20, 6, 18, 5, 6, 26, 5, 25, 17, 21, 4, 5, 24, 10, 0, 15, 21, 1, 19, 14, 3, 1, 12, 6, 4, 24, 26, 23, 7, 12, 13, 17, 19, 24, 9, 17, 7, 19, 15, 12, 11, 11, 0, 1, 11, 0, 15]"
12,0.1,0.1,0.1,0.5,0.5,0.004,"[18, 7, 9, 17, 9, 8, 14, 20, 18, 0, 7, 5, 15, 20, 22, 24, 21, 3, 9, 17, 2, 5, 14, 21, 8, 21, 3, 23, 0, 22, 8, 0, 24, 25, 15, 20, 10, 15, 1, 10, 26, 17, 3, 5, 2, 26, 4, 24, 18, 14, 6, 11, 1, 4, 16, 13, 25, 2, 16, 11, 12, 19, 13, 25, 7, 22, 4, 12, 1, 6, 23, 10, 13, 12, 6, 26, 23, 19, 19, 11, 16]"
13,0.1,0.1,0.1,0.5,0.7,0.004098360655737705,"[13, 26, 22, 7, 17, 2, 26, 17, 9, 0, 19, 17, 22, 25, 13, 13, 4, 1, 5, 21, 24, 18, 20, 4, 19, 0, 7, 23, 7, 18, 24, 1, 10, 15, 18, 9, 19, 21, 22, 20, 10, 23, 6, 8, 24, 21, 6, 4, 1, 20, 11, 14, 9, 15, 23, 25, 8, 5, 6, 2, 3, 14, 10, 8, 12, 12, 0, 16, 2, 15, 3, 11, 3, 14, 5, 11, 16, 25, 16, 26, 12]"
14,0.1,0.1,0.1,0.5,0.9,0.004081632653061225,"[20, 0, 23, 12, 22, 1, 21, 7, 4, 9, 14, 12, 1, 0, 23, 20, 4, 3, 7, 21, 7, 1, 20, 22, 4, 2, 2, 8, 9, 26, 24, 26, 6, 24, 6, 11, 10, 11, 26, 25, 11, 18, 5, 22, 16, 19, 10, 3, 15, 25, 6, 0, 2, 8, 9, 14, 25, 5, 12, 5, 14, 19, 10, 16, 19, 18, 3, 8, 15, 16, 21, 17, 17, 13, 23, 17, 13, 15, 13, 18, 24]"
15,0.1,0.1,0.1,0.7,0.1,0.004032258064516129,"[8, 13, 3, 21, 1, 13, 12, 12, 4, 13, 9, 23, 26, 12, 21, 2, 16, 3, 9, 8, 22, 18, 26, 7, 17, 16, 23, 4, 11, 23, 3, 25, 26, 9, 1, 19, 5, 2, 1, 17, 5, 24, 5, 22, 25, 20, 10, 15, 4, 24, 15, 18, 11, 15, 24, 22, 6, 6, 20, 7, 0, 11, 7, 21, 19, 18, 25, 17, 0, 6, 8, 14, 16, 10, 20, 14, 0, 10, 2, 14, 19]"
16,0.1,0.1,0.1,0.7,0.3,0.004132231404958678,"[11, 11, 19, 21, 23, 22, 22, 23, 21, 23, 7, 13, 3, 10, 15, 18, 8, 25, 18, 6, 10, 15, 19, 4, 18, 26, 0, 8, 12, 10, 1, 4, 5, 1, 14, 25, 15, 26, 7, 21, 1, 17, 0, 9, 19, 5, 3, 0, 4, 17, 22, 8, 11, 6, 7, 9, 14, 2, 12, 2, 5, 25, 14, 26, 12, 13, 20, 6, 24, 9, 2, 13, 24, 16, 20, 16, 17, 3, 24, 20, 16]"
17,0.1,0.1,0.1,0.7,0.5,0.0040650406504065045,"[16, 16, 13, 23, 11, 3, 13, 22, 23, 1, 2, 10, 22, 11, 1, 20, 18, 20, 22, 10, 5, 3, 9, 6, 5, 5, 6, 21, 18, 24, 15, 21, 4, 26, 9, 7, 11, 1, 24, 0, 21, 16, 10, 26, 19, 8, 26, 3, 19, 12, 0, 23, 14, 17, 2, 24, 7, 8, 7, 18, 12, 19, 4, 12, 4, 25, 17, 2, 17, 9, 25, 14, 0, 25, 13, 8, 6, 15, 15, 14, 20]"
18,0.1,0.1,0.1,0.7,0.7,0.0041841004184100415,"[22, 6, 25, 22, 22, 10, 2, 17, 9, 3, 2, 2, 24, 3, 10, 21, 20, 24, 14, 10, 20, 12, 17, 13, 14, 14, 26, 19, 9, 11, 13, 26, 19, 6, 13, 1, 25, 21, 0, 8, 25, 1, 23, 9, 6, 0, 26, 0, 18, 24, 16, 15, 18, 3, 5, 11, 23, 4, 21, 7, 7, 20, 15, 18, 12, 15, 8, 5, 12, 19, 4, 16, 16, 8, 23, 4, 5, 17, 1, 11, 7]"
19,0.1,0.1,0.1,0.7,0.9,0.004132231404958678,"[3, 20, 5, 16, 6, 25, 9, 18, 5, 7, 6, 23, 18, 22, 21, 16, 5, 3, 16, 22, 20, 25, 26, 22, 26, 1, 18, 24, 9, 2, 23, 6, 11, 21, 1, 0, 21, 13, 9, 7, 3, 12, 8, 13, 24, 17, 17, 0, 12, 23, 12, 24, 4, 7, 10, 2, 13, 26, 19, 1, 20, 14, 10, 19, 8, 8, 17, 2, 15, 4, 11, 11, 25, 10, 14, 15, 14, 19, 0, 15, 4]"
20,0.1,0.1,0.1,0.9,0.1,0.004098360655737705,"[11, 24, 20, 5, 11, 11, 12, 1, 25, 7, 24, 12, 24, 2, 18, 21, 26, 8, 18, 25, 5, 3, 20, 1, 18, 21, 20, 23, 23, 8, 22, 0, 25, 2, 22, 0, 6, 7, 6, 10, 21, 3, 0, 8, 9, 13, 16, 15, 3, 10, 9, 12, 14, 6, 13, 9, 16, 2, 26, 17, 23, 1, 17, 4, 16, 7, 10, 19, 17, 14, 22, 15, 19, 5, 4, 13, 26, 19, 14, 15, 4]"
21,0.1,0.1,0.1,0.9,0.3,0.004098360655737705,"[2, 2, 14, 18, 10, 18, 12, 14, 18, 23, 8, 15, 23, 9, 10, 0, 20, 22, 6, 13, 8, 12, 11, 4, 15, 5, 3, 9, 21, 20, 5, 14, 9, 22, 7, 11, 17, 24, 15, 0, 6, 20, 13, 8, 11, 16, 25, 21, 12, 10, 2, 23, 17, 26, 4, 0, 25, 6, 1, 19, 24, 26, 19, 13, 17, 7, 7, 24, 3, 19, 21, 4, 16, 22, 3, 16, 5, 1, 25, 26, 1]"
